Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Target ChEMBL ID,Target Name,Target Organism,Target Type
CHEMBL136100,,,N=C(N)c1ccc2cnn(CC(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)c2c1,Ki,'=',3.1,nM,8.51,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL301111,,,O=C(Nc1ccccc1C(=O)N1CCOCC1)c1sc2ccccc2c1Cl,Ki','>',150.0,uM,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL154512,,,Cc1cc(C(=O)Nc2ccc(-c3ccccc3C(F)(F)F)cc2)n(-c2cccc(C(=N)N)c2)n1,Ki,'=',0.04,nM,10.4,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL346686,,,N=C(N)c1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cn2)c1,Ki,'=',0.009,nM,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL337014,,,N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccc(I)cc1)NC(=O)[C@@H](Cc1ccccc1)NS(=O)(=O)Cc1ccccc1)C(=O)c1nccs1,IC50,'=',500.0,nM,6.3,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL130344,,,N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)[C@@H](Cc1ccccc1)NS(=O)(=O)Cc1ccccc1)C(=O)c1nccs1,IC50,'=',2180.0,nM,5.66,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL93796,,,N=C(N)c1cccc(CN2CC[C@H](NS(=O)(=O)c3ccc4ccccc4c3)C2=O)c1,Ki,'=',230.0,nM,6.64,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL355639,,,COc1ccc(C(=O)Nc2ccc(Cl)cc2NC(=O)c2ccc(OC)cc2)cc1,K ass,'=',420000.0,l M-1,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL150739,,,N=C(N)c1ccc(/C=C2/CCCCCC/C(=C/c3ccc(C(=N)N)cc3)C2=O)cc1,Ki,'=',2.8,nM,8.55,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL2029028,,,CO[C@H]1O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O[C@@H]3O[C@H](COS(=O)(=O)[O-])[C@@H](O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O[C@@H]5O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)[O-])[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)[O-])[C@H]3NS(=O)(=O)[O-])[C@H](O)[C@H]2OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H]1NS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],Activity,'=',1250.0,U mg-1,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL173333,,,Nc1ncnc2cc(CN3CCN(Cc4nc5cc(Br)ccc5[nH]4)CC3=O)ccc12,Ki,'=',17.0,nM,7.77,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL161683,,,COc1cc(/C=C/S(=O)(=O)N2CCN(Cc3cc4c[nH]ccc-4n3)C(=O)C2)sc1Cl,Ki,'>',1200.0,nM,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL46970,,,N=C(N)c1cccc(Oc2cc(Cl)ccc2NC(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,IC50,'=',1.6,nM,8.8,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL1161216,,,O=S(=O)(O)Oc1cc2c(c(OS(=O)(=O)O)c1)C[C@H](OS(=O)(=O)O)[C@@H](c1ccc(OS(=O)(=O)O)c(OS(=O)(=O)O)c1)O2,K ACT,'=',6750.0,M-1 s-1,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL46770,,,N=C(N)c1cccc(OCCN(CC(=O)O)C(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,IC50,'=',34.0,nM,7.47,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL290025,,,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](Cc2nc3ccccc3s2)C(=O)N2CCC(CCO)CC2)C1,Ki,'=',45000.0,nM,4.35,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL175130,,,CN1CCN=C1N(C)Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,IC50,'=',0.3,nM,9.52,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL46147,,,COC(=O)[C@@H](Cc1c[nH]cn1)NC(=O)CN1CCN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CC1=O,Ki,'>',1200.0,nM,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL1095365,,,O=C(CCS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2CCCNC2=O)CC1,IC50,'=',11.0,nM,7.96,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL1086965,,,O=C([C@H](O)CS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2Cc3ccccc3C2=O)CC1,IC50,'=',2.3,nM,8.64,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL593482,,,O=C(CCS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(N2Cc3cnc(CO)n3C2=O)CC1,IC50,'=',8.0,nM,8.1,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL174995,,,CN(C)C(=O)COc1ccc2c3ccccc3n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1,Ki,'=',5.0,nM,8.3,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL292235,,,CC(=N)N1CCC(Oc2ccc(C(=O)NCCOc3cc(C(=N)N)ccc3CC(=O)C(=O)O)cc2)CC1,Ki,'=',20.0,nM,7.7,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL325022,,,N=C(N)c1cccc(/C=C2/CCCC/C(=C\c3cccc(C(=N)N)c3)C2=O)c1,Ki,'=',140.0,nM,6.85,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL173622,,,N=C(N)c1ccc(CNc2ccc3ccn(Cc4ccc(C(=N)N)cc4)c3c2)cc1,Ki,'=',1050.0,nM,5.98,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL485876,,,Cc1ncc2n1C(=O)N(N1CCN(C(=O)CCS(=O)(=O)c3ccc4cc(Cl)ccc4c3)CC1)C2,IC50,'=',6.9,nM,8.16,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL2396784,,,CCOC(=O)c1c(C)oc2cc(OC)c(OCc3oc4cc(OC)c(OCc5oc6cc(OC)c(OS(=O)(=O)[O-])cc6c5C(=O)OC)cc4c3C(=O)OCC)cc12.[Na+],Inhibition,,,%,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL171696,,,COc1ccc(NC(=O)c2ccccc2NC(=O)c2ccc(Cl)cc2)cc1,K ass,'=',270000.0,l M-1,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL169428,,,COc1ccc(C(=O)Nc2ccc(NS(C)(=O)=O)cc2NC(=O)c2ccc(C(C)(C)C)cc2)cc1,K ass,'=',7650000.0,l M-1,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL352733,,,Cc1ccc(C(=O)Nc2ccccc2NC(=O)c2ccc(C(C)(C)C)cc2)cc1,K ass,'=',280000.0,l M-1,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL351435,,,O=C1CN(S(=O)(=O)c2cc3ccc(Cl)cc3s2)CCN1Cc1cc2cnccc2o1,Ki,'=',1219.0,nM,5.91,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL82006,,,N=C(N)c1cccc(Oc2cc(C(=O)O)cc(Oc3cc(C(=N)N)ccc3O)n2)c1,Ki,'=',6.0,nM,8.22,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL94490,,,COc1ccc2c(cc(C(=O)NCc3ccncc3)n2Cc2cccc(C(=N)N)c2)c1OC,Ki,'=',5310.0,nM,5.28,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
